project_name,owner,repo_name,url,commit_hash,star_count,detection_type
Jsitech/JShielder,Jsitech,JShielder,https://github.com/Jsitech/JShielder,d6495cfede7d0f557c49d68d8a4403d0c26fec76,781,fallback_includes
TIGERB/easy-php,TIGERB,easy-php,https://github.com/TIGERB/easy-php,c160fc74202f3ac98bca9d2cde18352645f76117,776,fallback_includes
ChurchCRM/CRM,ChurchCRM,CRM,https://github.com/ChurchCRM/CRM,4903bc24722908b05c5e1d022da9e3ef52fe630d,770,fallback_includes
poweradmin/poweradmin,poweradmin,poweradmin,https://github.com/poweradmin/poweradmin,364c05acd4ec415d005d1144e948d146cca31352,770,fallback_includes
backdoorhub/shell-backdoor-list,backdoorhub,shell-backdoor-list,https://github.com/backdoorhub/shell-backdoor-list,b9144c7e2afc2bd564bd49791011224a13296264,769,fallback_includes
thirtybees/thirtybees,thirtybees,thirtybees,https://github.com/thirtybees/thirtybees,d6c7b34ec936e8bcc2427490c114d5addfaa8f0b,754,fallback_includes
mattbanks/WordPress-Starter-Theme,mattbanks,WordPress-Starter-Theme,https://github.com/mattbanks/WordPress-Starter-Theme,d68ef527a12ea6ca9473aca17b4437e971765b5e,746,primary_functions
wupco/weblogger,wupco,weblogger,https://github.com/wupco/weblogger,aac6160771e8d33fb89f0ae633b6887cf36d312a,741,fallback_includes
sofadesign/limonade,sofadesign,limonade,https://github.com/sofadesign/limonade,0c68b0adb81363c7512ada270d1b5064464fde04,734,primary_functions
78778443/xssplatform,78778443,xssplatform,https://github.com/78778443/xssplatform,c64ed8209c6a5abe2951b24625fc60ebe6f22ff5,727,fallback_includes
silverstripe/silverstripe-framework,silverstripe,silverstripe-framework,https://github.com/silverstripe/silverstripe-framework,c61c5f16e06e3c00ffd466e4b0844cf36b13d2c9,724,primary_functions
marcocesarato/PHP-Antimalware-Scanner,marcocesarato,PHP-Antimalware-Scanner,https://github.com/marcocesarato/PHP-Antimalware-Scanner,32aac3dae97b58210541e6c765507155f5e490be,723,fallback_includes
ushahidi/platform,ushahidi,platform,https://github.com/ushahidi/platform,29f882ede7c8773f8e520349698110e13ef4bfb8,721,fallback_includes
ryancramerdesign/ProcessWire,ryancramerdesign,ProcessWire,https://github.com/ryancramerdesign/ProcessWire,a210ba0b5ea67e56fef8a27a620bcfa6f96ca0b8,721,primary_functions
Submitty/Submitty,Submitty,Submitty,https://github.com/Submitty/Submitty,249cb636238230ba3ac38bff15381cbffcd093fe,717,fallback_includes
WonderCMS/wondercms,WonderCMS,wondercms,https://github.com/WonderCMS/wondercms,c84c4ce6d1f3c6dafe15f5d04fffdd0815ed2d98,710,fallback_includes
